"","ID","Angry","Depressed","Anxiety","Stressed","Relaxed","Happy"
"1",1,0.17482230344783,0.25175465065999,0.258424504405621,0.202242483412918,0.162014715145514,0.220226314919539
"2",2,0.0246223946826666,0,0.0806611665669123,0.0344986985719615,0.415681093296896,0.226832850100643
"3",3,0.0893142871084683,0.196655049387872,0.162027598537671,0.148510476765092,0.279226694271359,0.139365708438474
"4",4,0.0956321239446619,0.16119733296247,0.276387390690364,0.200949347926991,0.129618708225872,0.139045622511607
"5",5,0.0733909903011716,0.125764857939861,0.341626091648405,0.408680722841158,0.522620579309003,0.432895997821837
"6",6,0.0610649642780445,0.0669052439257174,0.356194011630054,0.262187501202323,0.201025353231471,0.131472545803149
"7",7,0.0403017572175294,0,0.117581666930268,0.119172468490326,0.362986641312702,0.206344964867125
"8",8,0.0156596348436528,0.0185683162928764,0.0264906106052838,0.0635378561635873,0.153773317061146,0.110362848574835
"9",9,0,0.0130653015270947,0.0151506649336703,0.0413857202923095,0.358323860738753,0.123904888640899
"10",10,NA,NA,NA,NA,NA,NA
"11",11,0.270255422858457,0.148582921189114,0.249550096597684,0.250967944375261,0.332691396295265,0.28665693406941
"12",12,0.11683804598389,0.178220299964144,0.187043224185194,0.149991045332266,0.141336447402643,0.0865106650950711
"13",13,NA,NA,NA,NA,NA,NA
"14",14,0.0197168400934613,0.00522150013580995,0.0824858793445844,0.0310504740191782,0.161958998667678,0.11464998052305
"15",15,0,0.0417121936694922,0.0771327973573428,0.262182976353163,0.107247026980109,0.100466968298359
"16",16,0,0,0,0.0329661612815089,0.276313278554794,0.116209875776805
"17",17,0.11689363429243,0.127764049198308,0.309167831539033,0.445464446849601,0.23407338889177,0.146309767656008
"18",18,0.0978982815900451,0.0824255128772735,0.101201967854119,0.113472868721272,0.236504273928778,0.155949647706583
"19",19,0,0,0.173860512229515,0.193256282686769,0.366484786826868,0.184103828584067
"20",20,0.125369647264556,0.220103950707769,0.199020894886242,0.167139402140908,0.20429456719692,0.22103906327404
"21",21,NA,NA,NA,NA,NA,NA
"22",22,0.0983778681640602,0.0554978006558319,0.0962449521061876,0.239913684369688,0.158196206970881,0.193835821404418
"23",23,0.362862766646987,0.393399530355201,0.290650836469916,0.25541410740496,0.341225788633466,0.295659254808009
"24",24,0,0.0816496580927726,0.141494262487603,0.136684177280774,0.28920734916936,0.0758843241506186
"25",25,0.0328968065335125,0.031990012417119,0.15491472769738,0.203905659045059,0.157717264611229,0.156281315847113
"26",26,0.366222214551701,0.430163208050534,0.288954174704923,0.240685756129929,0.435083208399473,0.297483412203647
"27",27,0.450769629371753,0.396583262028972,0.319521941081285,0.460743960334905,0.470246088873962,0.477657437139271
"28",28,0.172250923037509,0.173364203872012,0.148090075654877,0.147773897071583,0.312631229480146,0.174510868593952
"29",29,0.0174071918623058,0.115370919391059,0.123711481282102,0.152653211558329,0.169949230839904,0.22821116062397
"30",30,0.349490941380737,0.27606040470873,0.279349386778029,0.368209155006672,0.254765859160275,0.220923468256136
"31",31,0.0822028843031519,0.0492480579086605,0.122946933429465,0.282797967362759,0.204868929752315,0.211936685691525
"32",32,0.263728884180779,0.202459418360267,0.22818052268149,0.267125562145286,0.227630896539758,0.271432945013393
"33",33,0.134021764520352,0.0950504440115747,0.0999018795990963,0.229947331632663,0.167372670596241,0.190545617564071
"34",34,0.27393782458626,0.149969420477774,0.231730442101294,0.312452552357538,0.381850946970278,0.205362266764575
"35",35,0.0958904714563511,0.21750461037226,0.212725406546439,0.219222747615879,0.195954039463558,0.253068714848287
"36",36,0.0482869240113098,0.0487017629050453,0.0252317780093205,0.0264909109107277,0.00567906412478991,0.0107416601310609
"37",37,0.2061203801212,0.15567315656087,0.241182940365417,0.166290095774381,0.154634224535039,0.123484855820737
"38",38,0.177151627701009,0.167848756980198,0.18912618473952,0.212294808297395,0.14771142555481,0.192287262166212
"39",39,0.223975367958201,0.294194103119277,0.0822972399025798,0.236884638639217,0.179666170067066,0.218017594228554
"40",40,0.074223388352251,0.186723945541374,0.165311009124126,0.231563274307759,0.258647358494405,0.236325129516311
"41",41,0.112101544823009,0.168531103251275,0.110183910439457,0.114066576260303,0.118616204858994,0.040936634714858
"42",42,0.0671817992988281,0.0566027825251599,0.10323512105383,0.0569107348354858,0.086662901637476,0.07532973159845
"43",43,0.347695405112733,0.0823783612085128,0.266514711717611,0.181630827368815,0.156460535283209,0.180393510791167
"44",44,NA,NA,NA,NA,NA,NA
"45",45,0.21906022514242,0.232050531207772,0.511439829769047,0.374382631100907,0.534382570705143,0.278023638985759
"46",46,NA,NA,NA,NA,NA,NA
"47",47,0.264939135994238,0.257755713231456,0.348889233170958,0.508357816158175,0.524616231379167,0.271299467429495
"48",48,0.326967010157147,0.178717530437795,0.152190498710572,0.186434773286938,0.496082968621548,0.463802995816859
"49",49,0.323059064141092,0.178129895040116,0.0708085926248585,0.0512489015551891,0.375170122518639,0.45654882745478
"50",50,0.174669304078456,0.0871585752977224,0.294246135884031,0.274346239314401,0.329043686847747,0.189719226719276
